name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,humidity,precip,windgust,windspeed,cloudcover,description,icon
NgheAn,2018-01-01,19.3,16.3,18,19.3,16.3,18,85.7,0.1,24.1,13.3,99.6,Cloudy skies throughout the day with late afternoon rain,rain
NgheAn,2018-01-02,21.9,17.6,19.7,21.9,17.6,19.7,90.8,0.2,22.7,10.8,87.8,Partly cloudy throughout the day with early morning rain,rain
NgheAn,2018-01-03,22.6,18.6,20.2,22.6,18.6,20.2,94,0.6,26.6,15.8,99.2,Cloudy skies throughout the day with early morning rain,rain
NgheAn,2018-01-04,23.1,18.7,20.4,23.1,18.7,20.4,93.5,0.2,19.4,11.2,97,Cloudy skies throughout the day with rain,rain
NgheAn,2018-01-05,23.2,20.1,21.2,23.2,20.1,21.2,95.7,0.6,16.9,8.6,96.7,Cloudy skies throughout the day with rain in the morning and afternoon,rain
NgheAn,2018-01-06,23,19.7,21.2,23,19.7,21.2,96.1,0.1,20.9,10.1,93.3,Cloudy skies throughout the day with morning rain,rain
NgheAn,2018-01-07,23.9,20.1,21.9,23.9,20.1,21.9,95.5,0.1,21.6,11.9,72.5,Partly cloudy throughout the day with early morning rain,rain
NgheAn,2018-01-08,27,15.9,21,30.5,15.9,21.2,94.1,2,68.4,32.8,85.4,Partly cloudy throughout the day with rain,rain
NgheAn,2018-01-09,15,12.2,13.7,15,12.2,13.7,80.4,2.1,40.3,23.8,99.8,Cloudy skies throughout the day with rain,rain
NgheAn,2018-01-10,15,12.6,13.9,15,12.6,13.9,67.2,0,40,22.7,99.3,Cloudy skies throughout the day,cloudy
NgheAn,2018-01-11,15.6,12.7,14.2,15.6,12.7,14.2,64.8,0,38.9,22.3,99.5,Cloudy skies throughout the day,cloudy
NgheAn,2018-01-12,17.6,12.7,15,17.6,12.7,15,67.8,0,30.6,15.1,99.8,Cloudy skies throughout the day,cloudy
